107.4s 300 Epoch:1/51 || Epochiter: 54/202 || Iter: 54/10302 || Loc: 2.4069 Cla: 3.2824 Landm: 10.6670 || LR: 0.00100000 || Batchtime: 0.7684 s || ETA: 2:11:14
108.6s 301 Epoch:1/51 || Epochiter: 55/202 || Iter: 55/10302 || Loc: 2.7319 Cla: 3.2790 Landm: 11.9004 || LR: 0.00100000 || Batchtime: 1.0020 s || ETA: 2:51:08
111.8s 302 Epoch:1/51 || Epochiter: 56/202 || Iter: 56/10302 || Loc: 2.9220 Cla: 3.2779 Landm: 13.0809 || LR: 0.00100000 || Batchtime: 2.9949 s || ETA: 8:31:28
112.7s 303 Epoch:1/51 || Epochiter: 57/202 || Iter: 57/10302 || Loc: 2.6491 Cla: 3.2646 Landm: 11.3191 || LR: 0.00100000 || Batchtime: 0.6744 s || ETA: 1:55:09
113.7s 304 Epoch:1/51 || Epochiter: 58/202 || Iter: 58/10302 || Loc: 2.6072 Cla: 3.2888 Landm: 11.6619 || LR: 0.00100000 || Batchtime: 0.7920 s || ETA: 2:15:14
114.8s 305 Epoch:1/51 || Epochiter: 59/202 || Iter: 59/10302 || Loc: 2.5044 Cla: 3.1864 Landm: 10.9060 || LR: 0.00100000 || Batchtime: 0.9230 s || ETA: 2:37:35
118.3s 306 Epoch:1/51 || Epochiter: 60/202 || Iter: 60/10302 || Loc: 2.4352 Cla: 3.2020 Landm: 11.8179 || LR: 0.00100000 || Batchtime: 3.3193 s || ETA: 9:26:39
119.1s 307 Epoch:1/51 || Epochiter: 61/202 || Iter: 61/10302 || Loc: 2.5700 Cla: 3.2746 Landm: 11.2509 || LR: 0.00100000 || Batchtime: 0.6210 s || ETA: 1:46:00
120.3s 308 Epoch:1/51 || Epochiter: 62/202 || Iter: 62/10302 || Loc: 2.4584 Cla: 3.1609 Landm: 11.4161 || LR: 0.00100000 || Batchtime: 0.9789 s || ETA: 2:47:04
121.3s 309 Epoch:1/51 || Epochiter: 63/202 || Iter: 63/10302 || Loc: 2.3738 Cla: 3.0538 Landm: 10.3052 || LR: 0.00100000 || Batchtime: 0.8042 s || ETA: 2:17:14
